vaca,grupo,status,fecha_secado,dias_secada,lactacion_nro,dias_lactacion,fecha_insem,dias_insem,toro,fecha_parto_est,dias_vacia
3232,22,Prepa,16-07-25,250,1,345,22-12-24,456,SHADO,27-09-25,139
2913,22,Prepa,16-07-25,250,3,386,31-12-24,447,SHADO,6-10-25,189
3000,22,Prepa,21-07-25,245,3,316,31-12-24,447,JEREMY,6-10-25,114
3266,22,Prepa,6-08-25,229,1,353,31-12-24,447,GAP XING,6-10-25,135
3271,22,Prepa,11-08-25,224,1,312,6-01-25,441,RENEGADE,12-10-25,95
3123,22,Prepa,6-08-25,229,2,304,8-01-25,439,JEREMY,14-10-25,94
3122,32,Prepa,21-07-25,245,2,335,12-01-25,435,SHADO,18-10-25,145
2656,32,Prepa,20-08-25,215,5,363,13-01-25,434,GAP XING,19-10-25,144
3277,32,Seca,11-08-25,224,1,286,16-01-25,431,RENEGADE,22-10-25,79
3110,32,Seca,21-07-25,245,2,323,18-01-25,429,JEREMY,24-10-25,139
3260,32,Seca,11-08-25,224,1,299,20-01-25,427,STARLORD,26-10-25,96
3087,32,Seca,11-08-25,224,2,301,20-01-25,427,JEREMY,26-10-25,98
3065,32,Seca,21-07-25,245,2,436,21-01-25,426,JEREMY,27-10-25,255
3252,32,Seca,3-09-25,201,1,414,25-01-25,422,JEREMY,31-10-25,193
2827,32,Seca,3-09-25,201,4,312,27-01-25,420,RENEGADE,2-11-25,93
3256,32,Seca,3-09-25,201,1,369,10-02-25,406,GAP XING,16-11-25,164
