vaca,grupo,fecha_nacimiento,edad_meses,status,madre,padre,peso_corporal
3532,45,14-08-24,19.3,Vaqll,BOSEPHUS,TANK,120
3533,77,16-08-24,19.2,Tern,KING,ROYA HARDY,120
3539,35,22-08-24,19.0,Vaqll,DIFFERENC,HARDY,90
3543,35,27-08-24,18.8,Vaqll,YODER,SEX HARDY,100
3544,35,30-08-24,18.7,Vaqll,MONTROSS,HARDY,90
3545,35,1-09-24,18.7,Vaqll,MAGELLAN,HARDY SEX,120
3547,35,3-09-24,18.6,Vaqll,ALL,STAR HARDY SEX,120
3549,35,17-09-24,18.1,Tern,HANCOCK,CAPTIVATI,0
3550,35,21-09-24,18.0,Tern,BARNABAS,ENSIGN SE,0
3551,35,29-09-24,17.7,Tern,HANANS,SE REVOLUTIO,100
3552,35,1-10-24,17.7,Tern,ALL,STAR REVOLUTIO,110
3553,35,2-10-24,17.6,Tern,REMINGTON,LUCKY SEV,100
3554,35,3-10-24,17.6,Tern,ALL,STAR REVOLUTIO,120
3556,35,9-10-24,17.4,Tern,FURY,REVOLUTIO,120
3558,35,11-10-24,17.3,Tern,HUMBLENKI,LUCKY SEV,120
3557,35,11-10-24,17.3,Tern,ALPHABET,REVOLUTIO,110
3559,35,16-10-24,17.2,Tern,ALL,STAR REVOLUTIO,120
3561,77,22-10-24,17.0,Tern,ALPHABET,REVOLUTIO,120
3562,35,24-10-24,16.9,Tern,ALPHABET,REVOLUTIO,120
3563,35,26-10-24,16.9,Tern,KENOSHA,CAPTIVATI,110
3564,35,29-10-24,16.8,Tern,ALPHABET,REVOLUTIO,100
3565,35,30-10-24,16.7,Tern,ALPHABET,REVOLUTIO,120
3566,35,31-10-24,16.7,Tern,KING,ROYA IZREAL,100
3567,35,3-11-24,16.6,Tern,ALL,STAR REVOLUTIO,120
3568,35,17-11-24,16.1,Tern,MAGELLAN,REVOLUTIO,0
3569,35,2-12-24,15.6,Tern,HANANS,SE REVOLUTIO,100
3570,35,5-12-24,15.5,Tern,EXPECTANT,REVOLUTIO,80
3571,35,6-12-24,15.5,Tern,REVELATIO,REVOLUTIO,85
3413,21,7-12-24,15.5,Tern,KINGBOY,S MELLENCAM,95
3572,35,9-12-24,15.4,Tern,EXPECTANT,REVOLUTIO,90
3573,35,10-12-24,15.4,Tern,ALPHABET,FIGARO,100
3574,23,18-12-24,15.1,Tern,REVELATIO,MOUNTAINE,110
3575,23,18-12-24,15.1,Tern,ALPHABET,MOUNTAINE,100
3576,23,21-12-24,15.0,Tern,EXPECTANT,MOUNTAINE,100
3577,23,21-12-24,15.0,Tern,ALPHABET,MOUNTAINE,100
3578,23,21-12-24,15.0,Tern,ZZ,TOP MOUNTAINE,10
