Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9
2656,8.0,5,363,0.0,****,2-03-20,PI,NEOG4+PGENTA6,
116,19-07-25,PD,NEO4+ENRO6,,,,,,
2686,7.9,5,278,41.5,****,18-09-20,PD,NEO+ENR5+MULTI4,
2691,7.9,5,351,48.3,-705,2-05-23,AI,BIO+ENRO4+MULT5,
66,11-06-25,AD,PI,EN6+ME4+GE7+AN4,,,,,
2694,7.8,6,206,23.3,****,13-04-21,AD,BIOFL4+ENRO6,
2713,7.7,6,219,45.6,****,5-06-21,PI,BIOF4+GEN6+NEO2,
2748,7.5,5,417,33.3,****,25-09-21,PD,BIOF4+MULTIJ6,
2761,7.2,5,208,43.6,-692,5-10-23,AI,NEO+ENR4+GEN5,
2770,7.1,5,277,41.5,****,22-03-21,AD,BIOF3+MULTI6,+MELOX4+GENTA6
32,21-07-25,AI,BIO4+ENRO6,,,,,,
46,4-08-25,PI,NEO4+ANTIMAS5,,,,,,
2788,7.0,5,323,37.8,-886,30-11-22,PD,NEO3+ENRO4+MUL4,
2805,6.9,5,256,38.0,****,4-12-21,PI,BIOF+ENRO2,
2813,6.8,5,218,43.3,****,26-07-21,AD,BIOF4+ENRO6,
2826,6.8,5,295,37.3,-941,3-11-22,PD,NEO+ENR4+MUL3,
63,3-08-25,AI,BIO4+ENRO6,,,,,,
2827,6.8,4,312,0.0,-604,19-09-23,AD,NEO+ENRO+LINA4,
2833,6.7,4,532,24.4,-453,12-07-23,AD,NEO+ENRO4,+MEL2+GENT5
29,5-11-24,PD,NEO4+ENRO6,,,,,,
2843,6.6,5,348,42.3,****,4-04-22,AI,GENT8+MUL4+BI03,
141,28-08-25,AI,NEO4+ERNO6,,,,,,
2867,6.3,3,528,30.3,****,22-12-21,PD,NEO4+ENRO12,
2869,6.2,3,579,25.4,-479,30-04-23,PD,BIO+ENRO4+MULT5,
2871,6.2,3,551,24.0,-407,8-08-23,AI,NEO4+ENRO6,
157,22-02-25,PD,NEO4+ENRO6,,,,,,
2886,6.1,4,259,32.2,-626,20-10-23,PD,BIOF+ENRO3,+ENRLA2
29,5-08-25,PI,NEO4+ERNO5,,,,,,
2891,6.0,4,216,44.1,-781,30-06-23,AI,BIO4+ENRO6,
