Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12
24h.,-1-,-2-,,,,,,,,,,
3251,Insem,25,540,29-09-24,HEMBRA,35,ADE+SENSI,29.6,99,351,4,15-09-25
3272,Matar,25,538,1-10-24,HEMBRA,35,ADE+SENSI,30.1,81,189,5,8-04-25
3279,Matar,25,530,9-10-24,HEMBRA,35,ADE+SEN+M,27.5,96,181,5,8-04-25
3269,Insem,25,528,11-10-24,HEMBRA,35,ADE+SENSI,29.2,94,318,5,25-08-25
3317,Insem,25,374,14-03-25,HEMBRA,36,ADE+SEN+M,32.2,101,176,4,6-09-25
3292,Abort,18,436,11-01-25,MACHO,934,ADE+SENSI,37.7,93,177,3,7-07-25
3073,Insem,14,366,22-03-25,HEMBRA,36,ADE+MET+Q,39.4,93,177,3,15-09-25
3199,Insem,14,353,4-04-25,MACHO,934,ADE+PROPI,28.1,94,162,4,13-09-25
2691,Insem,14,351,6-04-25,HEMBRA,36,ADE+PRO+M,48.3,72,148,3,1-09-25
3211,Insem,14,330,27-04-25,MACHO,934,ADE+PROPI,33.6,76,127,3,1-09-25
2979,Insem,12,412,4-02-25,MACHO,934,AD+RUM+ME,38.4,97,223,3,15-09-25
3027,Insem,12,367,21-03-25,MACHO,934,ADE+RUM+M,37.2,94,158,3,26-08-25
3161,Insem,11,405,11-02-25,HEMBRA,35,ADE+METR+,27.7,97,202,3,1-09-25
3368,Insem,11,329,28-04-25,HEMBRA,36,ADE+SEN+M,40.9,80,142,4,17-09-25
2871,Matar,4,551,18-09-24,MACHO,934,ADE+PRO+M,24.0,96,273,7,18-06-25
2942,Insem,4,398,18-02-25,HEMBRA,35,AD+RUM+ME,35.6,97,195,3,1-09-25
3117,Insem,4,394,22-02-25,MACHO,934,ADE+RUMIN,36.6,93,191,3,1-09-25
