Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13
3232,22,Prepa,16-07-25,250,1,345,22-12-24,456,SHADO,27-09-25,139,418,
2913,22,Prepa,16-07-25,250,3,386,31-12-24,447,SHADO,6-10-25,189,468,
3000,22,Prepa,21-07-25,245,3,316,31-12-24,447,JEREMY,6-10-25,114,393,
3266,22,Prepa,6-08-25,229,1,353,31-12-24,447,GAP,XING,6-10-25,135,414
3271,22,Prepa,11-08-25,224,1,312,6-01-25,441,RENEGADE,12-10-25,95,374,
3123,22,Prepa,6-08-25,229,2,304,8-01-25,439,JEREMY,14-10-25,94,373,
3122,32,Prepa,21-07-25,245,2,335,12-01-25,435,SHADO,18-10-25,145,424,
2656,32,Prepa,20-08-25,215,5,363,13-01-25,434,GAP,XING,19-10-25,144,423
3277,32,Seca,11-08-25,224,1,286,16-01-25,431,RENEGADE,22-10-25,79,358,
3110,32,Seca,21-07-25,245,2,323,18-01-25,429,JEREMY,24-10-25,139,418,
3260,32,Seca,11-08-25,224,1,299,20-01-25,427,STARLORD,26-10-25,96,375,
3087,32,Seca,11-08-25,224,2,301,20-01-25,427,JEREMY,26-10-25,98,377,
3065,32,Seca,21-07-25,245,2,436,21-01-25,426,JEREMY,27-10-25,255,534,
3252,32,Seca,3-09-25,201,1,414,25-01-25,422,JEREMY,31-10-25,193,472,
2827,32,Seca,3-09-25,201,4,312,27-01-25,420,RENEGADE,2-11-25,93,372,
3256,32,Seca,3-09-25,201,1,369,10-02-25,406,GAP,XING,16-11-25,164,443
100%,228,2,341,433,136,415,,,,,,,
