Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14
3532,45,14-08-24,19.3,Vaqll,BOSEPHUS,TANK,120,,,,,,,
3533,77,16-08-24,19.2,Tern,KING,ROYA,HARDY,120,,,,,,
3539,35,22-08-24,19.0,Vaqll,DIFFERENC,HARDY,90,,,,,,,
3543,35,27-08-24,18.8,Vaqll,YODER,SEX,HARDY,100,,,,,,
3544,35,30-08-24,18.7,Vaqll,MONTROSS,HARDY,90,,,,,,,
3545,35,1-09-24,18.7,Vaqll,MAGELLAN,HARDY,SEX,120,,,,,,
3547,35,3-09-24,18.6,Vaqll,ALL,STAR,HARDY,SEX,120,,,,,
3549,35,17-09-24,18.1,Tern,HANCOCK,CAPTIVATI,0,,,,,,,
3550,35,21-09-24,18.0,Tern,BARNABAS,ENSIGN,SE,0,,,,,,
3551,35,29-09-24,17.7,Tern,HANANS,SE,REVOLUTIO,100,,,,,,
3552,35,1-10-24,17.7,Tern,ALL,STAR,REVOLUTIO,110,,,,,,
3553,35,2-10-24,17.6,Tern,REMINGTON,LUCKY,SEV,100,,,,,,
3554,35,3-10-24,17.6,Tern,ALL,STAR,REVOLUTIO,120,,,,,,
3556,35,9-10-24,17.4,Tern,FURY,REVOLUTIO,120,,,,,,,
3558,35,11-10-24,17.3,Tern,HUMBLENKI,LUCKY,SEV,120,,,,,,
3557,35,11-10-24,17.3,Tern,ALPHABET,REVOLUTIO,110,,,,,,,
3559,35,16-10-24,17.2,Tern,ALL,STAR,REVOLUTIO,120,,,,,,
3560,35,21-10-24,17.0,Tern,AL´HABET,CAPTIVATI,90,,,,,,,
3561,77,22-10-24,17.0,Tern,ALPHABET,REVOLUTIO,120,,,,,,,
3562,35,24-10-24,16.9,Tern,ALPHABET,REVOLUTIO,120,,,,,,,
3563,35,26-10-24,16.9,Tern,KENOSHA,CAPTIVATI,110,,,,,,,
3564,35,29-10-24,16.8,Tern,ALPHABET,REVOLUTIO,100,,,,,,,
3565,35,30-10-24,16.7,Tern,ALPHABET,REVOLUTIO,120,,,,,,,
3566,35,31-10-24,16.7,Tern,KING,ROYA,IZREAL,100,,,,,,
3567,35,3-11-24,16.6,Tern,ALL,STAR,REVOLUTIO,120,,,,,,
3568,35,17-11-24,16.1,Tern,MAGELLAN,REVOLUTIO,0,,,,,,,
3569,35,2-12-24,15.6,Tern,HANANS,SE,REVOLUTIO,100,,,,,,
3570,35,5-12-24,15.5,Tern,EXPECTANT,REVOLUTIO,80,,,,,,,
3571,35,6-12-24,15.5,Tern,REVELATIO,REVOLUTIO,85,,,,,,,
93413,21,7-12-24,15.5,Tern,KINGBOY,S,MELLENCAM,95,,,,,,
3572,35,9-12-24,15.4,Tern,EXPECTANT,REVOLUTIO,90,,,,,,,
3573,35,10-12-24,15.4,Tern,ALPHABET,FIGARO,100,,,,,,,
3574,23,18-12-24,15.1,Tern,REVELATIO,MOUNTAINE,110,,,,,,,
3575,23,18-12-24,15.1,Tern,ALPHABET,MOUNTAINE,100,,,,,,,
3576,23,21-12-24,15.0,Tern,EXPECTANT,MOUNTAINE,100,,,,,,,
3577,23,21-12-24,15.0,Tern,ALPHABET,MOUNTAINE,100,,,,,,,
3578,23,21-12-24,15.0,Tern,ZZ,TOP,MOUNTAINE,10,,,,,,
19%,17.0,95,,,,,,,,,,,,
3513,45,20.3,UNDENIED,LUCKY,SEV,17-09-25,187,SHEEPSTER,2,***,,,,
3521,45,19.8,FURY,RAGER-RED,23-09-25,181,SHEEPSTER,1,***,,,,,
3523,45,19.7,MCCUTCHEN,CAPTIVATI,16-09-25,188,SHEEPSTER,2,***,,,,,
3524,45,19.6,ALL,STAR,HARDY,SEX,28-08-25,207,BARKEEP,SE,1,0,,
3526,45,19.6,ALPHABET,HARDY,8-09-25,196,BARKEEP,SE,1,***,,,,
3527,45,19.5,ALPHABET,HARDY,SEX,4-09-25,200,SHEEPSTER,1,***,,,,
3528,45,19.5,UNDENIED,INFERNO,6-09-25,198,SHEEPSTER,1,***,,,,,
3530,45,19.4,ALPHABET,HARDY,SEX,27-08-25,208,BARKEEP,SE,1,-1,,,
3534,45,19.2,HANCOCK,HARDY,11-09-25,193,BARKEEP,SE,1,***,,,,
3535,45,19.2,CAPITAL,HARDY,1-09-25,203,BARKEEP,SE,1,***,,,,
3536,45,19.1,ALPHABET,HARDY,SEX,3-09-25,201,BARKEEP,SE,1,***,,,
3538,45,19.0,ZZ,TOP,HARDY,SEX,8-09-25,196,BARKEEP,SE,1,***,,
3541,45,19.0,ALPHABET,HARDY,SEX,14-09-25,190,SHEEPSTER,1,***,,,,
3542,45,19.0,HANANS,SE,HARDY,SEX,13-09-25,191,SHEEPSTER,1,***,,,
3548,45,18.6,AZOR,SEX,LUCKY,SEV,21-09-25,183,BARKEEP,SE,1,***,,
45,19.4,195,1,,,,,,,,,,,
3477,55,22.0,AIRJET,RENEGADE,7-09-25,197,INFERNO,4,***,,,,,
3490,55,21.2,FURY,DMAC,SEX,23-09-25,181,INFERNO,5,***,,,,
3492,55,21.1,FURY,DMAC,SEX,22-09-25,182,SHEEPSTER,2,***,,,,
3497,55,20.9,YODER,SEX,LEGENDAIR,11-09-25,193,SHEEPSTER,2,***,,,,
3501,55,20.8,VALENTINO,CHROME,SE,5-09-25,199,JX,THRASHE,2,***,,,
3503,55,20.8,ALPHABET,DMAC,SEX,30-08-25,205,TENTASTIC,3,***,,,,
3507,55,20.7,ZZ,TOP,DMAC,SEX,15-09-25,189,BARKEEP,SE,2,***,,
3511,55,20.7,HANCOCK,LEGENDAIR,24-08-25,211,BARKEEP,SE,1,-4,,,,
3512,55,20.3,ALPHABET,DMAC,SEX,17-09-25,187,BARKEEP,SE,2,***,,,
3515,55,20.3,EXCLUSIVE,INFERNO,16-09-25,188,BARKEEP,SE,2,***,,,,
3517,55,20.0,DRAGONHEA,HARDY,24-08-25,211,SHEEPSTER,1,-4,,,,,
3520,55,19.8,ZZ,TOP,HARDY,SEX,11-09-25,193,SHEEPSTER,2,***,,,
