Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12
3439,36,HECKER,S,Preñ,13.0,18-05-25,TENTASTI,309,21-02-26,-30,24.9,
3467,36,HECKER,S,Preñ,13.2,18-05-25,PACE,SEX,309,21-02-26,-30,22.5
3455,36,HECKER,S,Preñ,14.0,19-05-25,PACE,SEX,308,22-02-26,-29,23.3
3469,36,HECKER,S,Preñ,13.3,21-05-25,TENTASTI,306,24-02-26,-27,22.6,
3468,36,RENEGADE,Preñ,13.4,24-05-25,TENTASTI,303,27-02-26,-24,22.7,,
3463,46,POLICE,K,Preñ,13.1,2-06-25,PARFECT,294,8-03-26,-15,23.1,
3473,46,RENEGADE,Preñ,13.2,3-06-25,TENTASTI,293,9-03-26,-14,22.5,,
3474,46,LEDYARD,Preñ,13.2,7-06-25,PARFECT,289,13-03-26,-10,22.5,,
3450,46,POLICE,Z,Preñ,13.1,8-06-25,HECKER,288,14-03-26,-9,24.3,
3476,46,WARRIOR-,Preñ,13.2,20-06-25,PARFECT,276,26-03-26,3,22.5,,
3453,46,LEDYARD,Preñ,13.3,23-06-25,TENTASTI,273,29-03-26,6,24.6,,
3478,77,LEGENDAI,Preñ,13.2,24-06-25,PARFECT,272,30-03-26,7,22.5,,
3479,46,LUCKY,SE,Preñ,13.2,26-06-25,EIFEL,SE,270,1-04-26,9,22.5
3483,46,RENEGADE,Preñ,12.9,26-06-25,TENTASTI,270,1-04-26,9,22.2,,
3457,46,HECKER,S,Preñ,12.7,28-06-25,TENTASTI,268,3-04-26,11,24.5,
3481,46,LUCKY,SE,Preñ,13.2,1-07-25,EIFEL,SE,265,6-04-26,14,22.5
3471,46,WARRIOR-,Preñ,12.8,7-07-25,TENTASTI,259,12-04-26,20,23.9,,
3486,46,RENEGADE,Preñ,13.2,7-07-25,EIFEL,SE,259,12-04-26,20,22.5,
3489,46,LUCKY,SE,Preñ,13.0,7-07-25,EIFEL,SE,259,12-04-26,20,22.3
